epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
28,1607.69,1.92845,0.2027,0.2973,3.99284,0.000138502,0.000138502,0.000138502
53,2830.98,1.47464,0.17568,0.31081,4.7341,7.4152e-05,7.4152e-05,7.4152e-05
29,1650.53,1.9098,0.2027,0.2973,4.0239,0.000135928,0.000135928,0.000135928
54,2875.43,1.40369,0.17568,0.31081,4.54713,7.1578e-05,7.1578e-05,7.1578e-05
30,1691.88,1.85021,0.2027,0.2973,4.17506,0.000133354,0.000133354,0.000133354
55,2917.03,1.41092,0.18919,0.31081,4.69381,6.9004e-05,6.9004e-05,6.9004e-05
31,1732.73,1.80345,0.18919,0.2973,4.11693,0.00013078,0.00013078,0.00013078
56,2958.24,1.38686,0.18919,0.31081,4.8502,6.643e-05,6.643e-05,6.643e-05
32,1773.59,1.83963,0.2027,0.2973,4.20303,0.000128206,0.000128206,0.000128206
57,3000.94,1.40886,0.18919,0.31081,4.6077,6.3856e-05,6.3856e-05,6.3856e-05
33,1822.48,1.73991,0.2027,0.2973,4.0654,0.000125632,0.000125632,0.000125632
58,3049.74,1.41402,0.18919,0.2973,5.03902,6.1282e-05,6.1282e-05,6.1282e-05
34,1868.81,1.74459,0.2027,0.2973,4.22037,0.000123058,0.000123058,0.000123058
59,3096.43,1.34765,0.18919,0.2973,5.18801,5.8708e-05,5.8708e-05,5.8708e-05
35,1912.46,1.80761,0.2027,0.2973,4.16776,0.000120484,0.000120484,0.000120484
60,3140.55,1.38678,0.18919,0.2973,4.75508,5.6134e-05,5.6134e-05,5.6134e-05
36,1954.83,1.69141,0.2027,0.2973,3.8502,0.00011791,0.00011791,0.00011791
61,3183.63,1.38481,0.17568,0.2973,4.73879,5.356e-05,5.356e-05,5.356e-05
37,1995.72,1.61392,0.2027,0.2973,4.18595,0.000115336,0.000115336,0.000115336
